accuracy,training_time,plain_inference_time,datetime,y_hat_sample,y_sample,inference_size,activation,time_taken,is_plaintext,is_cyphertext,session
0.6677,945.9494018554688,,2022-07-02 17:22:13.397264,"[4, 4, 2, 1, 7, 9, 8, 4, 4, 1, 7, 7, 9, 8, 1, 0, 9, 2, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,84.9889919757843,1.0,0.0,vluDRM
0.6072,884.1849212646484,,2022-07-02 17:54:27.614973,"[4, 4, 6, 1, 7, 7, 8, 4, 4, 1, 7, 5, 7, 8, 1, 6, 5, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,70.62986993789673,1.0,0.0,FkK6Rb
0.6432,909.6208441257476,,2022-07-02 18:43:06.015997,"[4, 4, 4, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 6, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,70.67382407188416,1.0,0.0,Bm4rYu
0.6122,877.4691278934479,,2022-07-02 19:07:27.792257,"[4, 4, 6, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 3, 0, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,79.92992615699768,1.0,0.0,EG4xyz
0.5195,877.7144131660461,,2022-07-02 19:30:10.012709,"[6, 6, 2, 3, 7, 7, 8, 4, 4, 3, 5, 7, 7, 8, 1, 6, 9, 6, 6, 8]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,70.29267406463623,1.0,0.0,EZVWcY
0.5329,911.9597969055176,,2022-07-02 21:27:45.424102,"[3, 4, 6, 1, 5, 9, 8, 1, 4, 1, 5, 5, 7, 8, 1, 5, 9, 4, 1, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,70.21498894691467,1.0,0.0,B2wxhf
0.6249,874.9258470535278,,2022-07-02 21:49:03.122942,"[4, 4, 2, 1, 7, 7, 8, 4, 4, 1, 7, 7, 7, 8, 1, 0, 9, 4, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,70.47229218482971,1.0,0.0,Bl2GVA
0.5904,942.4356188774108,,2022-07-03 13:03:20.786834,"[4, 4, 4, 1, 7, 5, 8, 4, 4, 1, 7, 5, 7, 8, 1, 0, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,78.24926900863647,1.0,0.0,RDIeFi
0.405,903.3434770107268,,2022-07-03 16:15:24.088552,"[4, 6, 8, 3, 5, 5, 8, 4, 2, 3, 5, 5, 5, 8, 3, 6, 9, 2, 3, 8]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,71.46955394744873,1.0,0.0,LiERNs
0.6532,960.5121400356292,,2022-07-03 17:05:27.016145,"[4, 4, 4, 1, 7, 7, 8, 4, 4, 1, 7, 7, 7, 8, 1, 0, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,74.19203209877014,1.0,0.0,CQ4rCU
0.6232,884.21036028862,,2022-07-03 17:25:15.346288,"[4, 4, 4, 1, 7, 5, 8, 4, 4, 1, 5, 5, 5, 8, 1, 0, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,70.08313298225403,1.0,0.0,77GVee
0.6261,919.9779760837556,,2022-07-03 17:52:24.954812,"[4, 4, 4, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 6, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,75.41239213943481,1.0,0.0,zi9TBx
0.6362,940.4189929962158,,2022-07-03 23:29:37.320797,"[2, 4, 2, 3, 7, 9, 8, 4, 2, 3, 7, 7, 9, 2, 3, 0, 9, 2, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,74.78843402862549,1.0,0.0,xVsp6w
0.6144,944.4588270187378,,2022-07-03 23:53:35.181248,"[4, 4, 6, 1, 5, 7, 8, 4, 4, 1, 7, 7, 7, 8, 1, 0, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,81.62340474128723,1.0,0.0,VUg5Jg
0.6434,951.8314321041108,,2022-07-04 00:17:16.822525,"[4, 4, 6, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 0, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,76.65648293495178,1.0,0.0,y9h5XJ
0.6592,924.5482439994812,,2022-07-04 11:14:18.006047,"[4, 4, 2, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 0, 9, 2, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,71.15049600601196,1.0,0.0,kWCQ9q
0.5991,885.9627192020416,,2022-07-04 12:10:20.016691,"[4, 4, 6, 1, 7, 5, 8, 4, 4, 1, 5, 7, 5, 8, 1, 6, 9, 6, 3, 3]","[0, 1, 2, 2, 3, 2, 8, 6, 5, 0, 3, 4, 4, 6, 8, 5, 6, 3, 6, 4]",10000,Sigmoid,71.53874611854553,1.0,0.0,lMIfP5
